date,artist_id,artist,venue,city,country_code,country,songs
21-09-2024,ad6085dc-dce1-41c3-9d44-4e81567983e7,White Ford Bronco,The Jefferson Theater,Charlottesville,US,United States,"Bang the Drum All Day, Never Let You Go, No Rain, Santa Monica, Jealous Again, Push, Fly Away, Higher, Everlong, Just a Girl, Lovefool, Mr. Jones, Basket Case, I Will Survive, Flagpole Sitta, Tonight, Dreams, 3AM, Two Princes, Gettin' Jiggy Wit It / Fresh Prince Theme / Thong Song / Miami, No Scrubs, Wannabe, I'm Gonna Be (500 Miles), ...Baby One More Time, Man! I Feel Like a Woman!, All Star, Zombie, Iris, Wonderwall, What's Up?, I Want It That Way, My Own Worst Enemy, Semi-Charmed Life, All the Small Things, Closing Time"
20-09-2024,821dbfc1-148b-4b86-bfb8-50b18cd0f11c,Empty Bottles,Ting Pavilion,Charlottesville,US,United States,"Wild Night, Foolish Heart, You Can Call Me Al, Baker Street, Hold the Line, Movin' Out (Anthony's Song), Lido Shuffle, Baby Come Back, How Long, Ride Like the Wind, Sledgehammer, Footloose, Who Can It Be Now?, Miss You, Brandy (You're a Fine Girl), Don't Bring Me Down, Takin' It to the Streets, Ophelia, Saturday Night's Alright for Fighting, Two Tickets to Paradise, Kodachrome, You Make Loving Fun, Loving Cup"
13-09-2024,e477d9c0-1f35-40f7-ad1a-b915d2523b84,Dark Star Orchestra,Maymont,Richmond,US,United States,"Promised Land, Dire Wolf, Passenger, Mississippi Half-Step Uptown Toodeloo, Blow Away, Beat It on Down the Line, Bird Song, Man Smart, Woman Smarter, Visions of Johanna, Box of Rain, Jack Straw, Lay Down Sally, Corrina, Eyes of the World, Drums, Space, The Last Time, Playing in the Band, Stella Blue, Werewolves of London"
13-09-2024,83cf58e1-c088-46ed-9e86-f0847360b557,Virginia Man,The Camel,Richmond,US,United States,
09-09-2024,0fda2f0a-3ddc-4d2e-aa65-ea5ea190e729,Disco Risqué,Rapture,Charlottesville,US,United States,"Toxic, Ramblin' Gamblin' Man, Have a Cigar, Right Back Where We Started From, The Boys of Summer"
09-09-2024,b925a474-d245-4217-bc13-2e153d82bebb,Goose,Ting Pavilion,Charlottesville,US,United States,"Turbulence & The Night Rays, All I Need, I'm Writing a Novel, Feel It Now, Animal, Rosewood Heart, Rockdale, Tumble, This Old Sea, Interlude II, The Empress of Organos, Into the Myst, Turn On Your Love Light"
07-09-2024,d1393ecb-431b-4fde-a6ea-d769f2f040cb,Kacey Musgraves,TD Garden,Boston,US,United States,"Cardinal, Butterflies, Sway, Golden Hour, Too Good to Be True, Space Cowboy, Happy & Sad, Lonely Weekend, Lonely Millionaire, Follow Your Arrow, Irish Goodbye, The Architect, Kill Bill, Jade Green, Slow Burn, justified, Pink Pony Club, High Horse, Deeper Well, Rainbow"
07-09-2024,365144f7-85af-4c83-b24b-b1d0b26160bb,Nickel Creek,TD Garden,Boston,US,United States,"Where the Long Line Leads, The Lighthouse's Tale, This Side, Toxic, Smoothie Song, Thinnest Wall, When in Rome, Destination"
07-09-2024,172053e5-a7fb-4548-a64d-c53858b5e775,Father John Misty,TD Garden,Boston,US,United States,"I'm Writing a Novel, The Night Josh Tillman Came to Our Apt., Nancy From Now On, Goodbye Mr. Blue, Chateau Lobby #4 (in C for Two Virgins), She Cleans Up, Josh Tillman and the Accidental Dose, Holy Shit, I Love You, Honeybear"
30-08-2024,bcf3ad0b-4eae-4c8b-a292-9f4c573aa27a,Samantha Fish,The Jefferson Theater,Charlottesville,US,United States,"Kick Out the Jams, Better Be Lonely, Chills and Fever, Bulletproof, Miles to Go, Kill or Be Kind, Watch It Die, Need You More, Somebody's Always Trying, Poor Black Mattie, Dream Girl, Black Wind Howlin'"
30-08-2024,3771a061-3d2a-4070-a0af-92253c2063a7,The Skip Castro Band,Ting Pavilion,Charlottesville,US,United States,"Flatfoot Sam, New Orleans, You Never Can Tell, Rockin' All Over the World, I Got a Rocket in My Pocket, Sweet, Sweet Girl, Roll Over Beethoven, My Gal Is Red-Hot, Jumpin' Jack Flash"
28-08-2024,b19fe89f-4f86-4dee-b20b-701f81d2223d,Keely & the Tea Lights,Common House,Charlottesville,US,United States,"Seven Bridges Road, Masterpiece, Out of the Flood, Up, Up and Away, Doorstop (I've Never Been More Aware), Bed of Nails, California Dreamin', No Moss on this Stone, Summer on the James, Flutterbye, Carey, Lightning, Drowning on Thin Air, Unsteady, Your Company, Jellyfish, Helplessly Hoping, Forecast, Come Down Love, Seven Bridges Road"
23-08-2024,52a4de43-92f5-4995-9a71-07d67dd35b7d,Nathaniel Rateliff & The Night Sweats,The Gorge Amphitheatre,George,US,United States,"I Need Never Get Old, Look It Here, A Little Honey, Wasting Time, Heartless, You Worry Me, Hey Mama, S.O.B., Love Don't"
23-08-2024,9947e874-ddd0-4e1a-b0d4-a76f6532fe45,Tyler Childers,The Gorge Amphitheatre,George,US,United States,"Way of the Triune God, Tulsa Turnaround, Percheron Mules, Country Squire, I Swear (To God), Rustin' in the Rain, Shake the Frost, All Your'n, Purgatory, In Your Love, Lady May, Nose on the Grindstone, Follow You to Virgie, Old Country Church, Can I Take My Hounds to Heaven?, Whitehouse Road"
23-08-2024,a2abdca1-2041-45b9-8d01-e34fdef7922f,Joy Oladokun,The Gorge Amphitheatre,George,US,United States,"Smells Like Teen Spirit, Black Car, We’re All Gonna Die"
09-08-2024,492a80b6-293b-4945-8e81-22119ab538ab,Andy Tichenor's Almost Acoustic,The Jefferson Theater,Charlottesville,US,United States,"On the Road Again, Midnight Moonlight, The Thrill Is Gone, Rosa Lee McFall, Take Me, Shady Grove, The Hobo Song, Dire Wolf, Cassidy, Ripple"
09-08-2024,43ca08f9-21d9-4f5a-929b-b23ef9a466f9,Alligator,The Jefferson Theater,Charlottesville,US,United States,"Casey Jones, Friend of the Devil, Deal, New Speedway Boogie, Happy Birthday to You, Beat It on Down the Line, China Cat Sunflower, I Know You Rider, U.S. Blues, Eyes of the World, Drums, Scarlet Begonias, Fire on the Mountain, Not Fade Away, Going Down the Road Feeling Bad, One More Saturday Night, Truckin'"
